edad,frecuencia_videojuegos,videojuegos_que_consume,consumo_simultaneo_musica_videojuego,tipo_musica_simultaneo_videojuegos,porcentaje_role,porcentaje_accion,porcentaje_aventura,porcentaje_arcade,porcentaje_deportivo,porcentaje_estrategia,porcentaje_simulacion,porcentaje_mesa,porcentaje_musical,total_usuarios
20,2,"Valorant, Fornite, Minecraft",1,Pop,1.0000,1.0000,2.0000,2.0000,0.0000,2.0000,2.0000,3.0000,2.0000,1
21,3,"Minecraft, Pokémon ",1,"De todo un poco, más banda sonoras de videojuegos o rockindie",3.0000,3.0000,3.0000,2.0000,2.0000,3.0000,2.0000,3.0000,2.0000,1
21,3,"Cod mobile y genshin impact y juegos ocasionales ",1,"De todo",3.0000,3.0000,3.0000,0.0000,0.0000,3.0000,0.0000,1.0000,0.0000,1
21,3,"LOL, Gta V y Class Royal",1,"Lo que caiga de mi playlist",0.0000,2.0000,2.0000,2.0000,0.0000,3.0000,1.0000,2.0000,0.0000,1
21,3,"League of legends apex legends Minecraft ",1,"Pop en español kpop ",2.0000,3.0000,3.0000,2.0000,2.0000,3.0000,2.0000,2.0000,2.0000,1
21,0,"Sin consumo",0,"Pop y electrónica ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
21,1,"Sin consumo",0,ninguna,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
21,0,"Sin consumo",0,minguna,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
21,0,"Sin consumo",0,"No juego videojuegos ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
21,0,"Sin consumo",0,"No juego videojuegos",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
21,0,"Sin consumo",0,"no juego ",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
21,2,"gta 5, fifa 24 y call of duty ",1,"el modo aleatorio de spotify ",2.0000,3.0000,3.0000,2.0000,3.0000,2.0000,3.0000,2.0000,2.0000,1
