frecuencia_consumo_musica,donde_consumo_musica,plataformas_streaming_consumo_musica,redes_sociales_utilizadas_novedades_musicales,importancia_musica_diaria
2,"En casa, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas","YouTube Music",TikTok,2.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En reuniones o fiestas",Spotify,"TikTok, Twitter/X",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, En reuniones o fiestas","Apple Music, Apple music","Instagram, TikTok, YouTube, Facebook",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio",Spotify,"Instagram, TikTok, Facebook",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio",Spotify,"TikTok, Twitter/X",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio","Spotify, YouTube Music","Instagram, TikTok, YouTube",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas",Spotify,TikTok,2.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","TikTok, YouTube",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music, Deezer","Instagram, YouTube, Facebook",2.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","YouTube Music, No utilizo plataformas de streaming para escuchar música",YouTube,3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, Mientras hago ejercicio",Spotify,"Twitter/X, YouTube",3.0000
2,"En casa, En la universidad, En el trabajo, En el transporte público, Mientras hago ejercicio, En reuniones o fiestas","Spotify, YouTube Music","TikTok, YouTube",3.0000
2,"En casa, En la universidad, En el trabajo, En transporte propio, Mientras hago ejercicio",Spotify,Instagram,2.0000
2,"En casa, En la universidad, En el trabajo, En transporte propio, Mientras hago ejercicio, En reuniones o fiestas","Spotify, Apple Music, YouTube Music, Amazon Music, Apple music","Instagram, TikTok, Twitter/X, YouTube, Facebook",2.0000
2,"En casa, En la universidad, En el transporte público","Apple Music","Instagram, TikTok",3.0000
2,"En casa, En la universidad, En el transporte público","Apple Music, YouTube Music","Instagram, TikTok",3.0000
